model_id,interval_count,train_start_year,train_end_year,antecedent_state,consequent_states,consequent_counts,transition_count,forecast_yield,defuzzification
chen_adaptive_k5,5,1961,2023,A1,A1;A2;A3,A1:10;A2:2;A3:1,13,0.23755077923076925,frequency_weighted_midpoint
chen_adaptive_k5,5,1961,2023,A2,A2;A3;A1,A2:7;A3:4;A1:1,12,0.28246918866666665,frequency_weighted_midpoint
chen_adaptive_k5,5,1961,2023,A3,A3;A4;A2;A1,A3:5;A4:4;A2:3;A1:1,13,0.3294254050769231,frequency_weighted_midpoint
chen_adaptive_k5,5,1961,2023,A4,A4;A3;A5,A4:7;A3:3;A5:2,12,0.40288501683333333,frequency_weighted_midpoint
chen_adaptive_k5,5,1961,2023,A5,A5;A4,A5:11;A4:1,12,0.49662250683333337,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A1,A1;A2;A3,A1:6;A2:2;A3:1,9,0.2333619123015873,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A2,A2;A1;A3;A4,A2:3;A1:2;A3:2;A4:2,9,0.2663325515079365,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A3,A3;A4;A2,A3:4;A4:3;A2:2,9,0.28765715706349204,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A4,A3;A4;A6;A1;A2;A5,A3:2;A4:2;A6:2;A1:1;A2:1;A5:1,9,0.3323666868253968,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A5,A5;A6;A4,A5:5;A6:3;A4:1,9,0.4050555853174602,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A6,A5;A6;A7;A4,A5:3;A6:3;A7:2;A4:1,9,0.4393793935714285,frequency_weighted_midpoint
chen_adaptive_k7,7,1961,2023,A7,A7;A6,A7:7;A6:1,8,0.530628595,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A1,A1;A3;A2,A1:4;A3:2;A2:1,7,0.23453968420634919,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A2,A2;A1;A3;A5,A2:3;A1:2;A3:1;A5:1,7,0.24800238460317464,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A3,A4;A2;A3;A5;A6,A4:3;A2:1;A3:1;A5:1;A6:1,7,0.29442222619047614,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A4,A3;A4;A2;A5,A3:3;A4:2;A2:1;A5:1,7,0.27607857507936506,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A5,A4;A5;A1;A6;A7,A4:2;A5:2;A1:1;A6:1;A7:1,7,0.3170222281746032,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A6,A7;A8;A5,A7:3;A8:2;A5:1,6,0.4208000123148148,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A7,A7;A6;A5,A7:4;A6:3;A5:1,8,0.38667501083333333,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A8,A8;A9;A6,A8:4;A9:2;A6:1,7,0.4817984231746032,frequency_weighted_midpoint
chen_adaptive_k9,9,1961,2023,A9,A9;A8,A9:5;A8:1,6,0.5341537084259259,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A1,A1;A2;A3,A1:4;A2:1;A3:1,6,0.22344924606060604,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A10,A10;A11,A10:5;A11:1,6,0.5151417054545457,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A11,A11;A10,A11:4;A10:1,5,0.5393263891818183,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A2,A1;A2;A3;A4;A6,A1:2;A2:1;A3:1;A4:1;A6:1,6,0.24937879462121212,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A3,A2;A4;A5,A2:2;A4:2;A5:1,5,0.2590963742727273,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A4,A6;A3;A4;A5;A7,A6:2;A3:1;A4:1;A5:1;A7:1,6,0.30086061621212123,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A5,A3;A4;A5,A3:2;A4:2;A5:1,5,0.2646618280909091,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A6,A5;A6;A2;A7,A5:2;A6:2;A2:1;A7:1,6,0.3023560710606061,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A7,A9;A8;A6,A9:3;A8:2;A6:1,6,0.4158000196969698,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A8,A8;A7;A9,A8:3;A7:2;A9:1,6,0.39893713409090914,frequency_weighted_midpoint
chen_adaptive_k11,11,1961,2023,A9,A7;A11;A8;A9,A7:2;A11:1;A8:1;A9:1,5,0.4263154706363637,frequency_weighted_midpoint
